Grad,Deo_Grada,Ulica,Cena_EUR,Kvadratura_m2,Cena_po_m2,Naslov,Link,Lokacija_Osnovna
Beograd,Novi Beograd Blok 33 (Genex kula),Bulevar Arsenija Čarnojevića,240000,68.0,3529.41,"Novi Beograd, Blok 33, 68m2, 3.5, dobro pozicioniran stan ID#4932",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-33-68m2-35-dobro-pozicioniran-stan-id4932/NkGayuZgr0z/,"Novi Beograd Blok 33 (Genex kula), Beograd, Srbija"
Beograd,Grocka (centar),Maršala Tita,87000,49.0,1775.51,"Boleč, trosoban stan 49m2 + terasa, ostava ID#4931",https://www.nekretnine.rs/stambeni-objekti/stanovi/bolec-trosoban-stan-49m2--terasa-ostava-id4931/NkZuvKq_V90/,"Grocka (centar), Beograd, Srbija"
Beograd,Autokomanda,Jove Ilića,466362,131.0,3560.02,"Jove Ilića, Charm Residences, nov troiposoban stan ID#8485",https://www.nekretnine.rs/stambeni-objekti/stanovi/jove-ilica-charm-residences-nov-troiposoban-stan-id8485/NkmkYmTYkk1/,"Autokomanda, Beograd, Srbija"
Beograd,Novi Beograd Blok 70a,Dr Agostina Neta,244900,67.0,3655.22,"Blok 70a, Dr Agostina Neta, 2.0, odmah useljiv ID#10384",https://www.nekretnine.rs/stambeni-objekti/stanovi/blok-70a-dr-agostina-neta-20-odmah-useljiv-id10384/Nk_btE18bwd/,"Novi Beograd Blok 70a, Beograd, Srbija"
Beograd,Crveni krst,Vojislava Ilića,179900,51.0,3527.45,"Crveni krst, Vojislava Ilića, 2.0, odmah useljiv ID#10383",https://www.nekretnine.rs/stambeni-objekti/stanovi/crveni-krst-vojislava-ilica-20-odmah-useljiv-id10383/NkpDyC9dU0r/,"Crveni krst, Beograd, Srbija"
Beograd,Novi Beograd Blok 65,Omladinskih brigada,225000,38.0,5921.05,"Novi Beograd, Blok 65, Omladinskih brigada, 0.5, 38m2, 225000 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-65-omladinskih-brigada-05-38m2-225000-eur/Nkiy2E3ulDa/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Novi Beograd Blok 67a,Omladinskih brigada,465000,192.0,2421.88,"Novi Beograd, Blok 67a, A blok, Omladinskih brigada, 3.0, 192m2, 465000 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-67a-a-blok-omladinskih-brigada-30-192m2-465000-eur/NkxL6R7N9Oz/,"Novi Beograd Blok 67a, Beograd, Srbija"
Beograd,Sarajevska,Durmitorska,349500,105.0,3328.57,"Savski venac, Sarajevska, Durmitorska, 4.0, 105m2, 349500 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-sarajevska-durmitorska-40-105m2-349500-eur/NksTvpUJfJM/,"Sarajevska, Beograd, Srbija"
Stara Pazova,Centar,N/A,72999,41.0,1780.46,"RETKO U PONUDI, Stara Pazova, Centar, 41m2 ID#13633",https://www.nekretnine.rs/stambeni-objekti/stanovi/retko-u-ponudi-stara-pazova-centar-41m2-id13633/Nkfsj_ctdZz/,"Centar, Stara Pazova, Srbija"
Beograd,Karaburma,Marijane Gregoran,125000,50.0,2500.0,"Karaburma, Marijane Gregoran 50m2 ID#4836",https://www.nekretnine.rs/stambeni-objekti/stanovi/karaburma-marijane-gregoran-50m2-id4836/Nkr1z5qaur5/,"Karaburma, Beograd, Srbija"
Beograd,Zvezdara,Murmanska,185000,63.0,2936.51,"Zvezdara, Zvezdarska šuma, Murmanska, 3.0, 63m2, 185000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-zvezdarska-suma-murmanska-30-63m2-185000eur/Nk6cY1UXZWi/,"Zvezdara, Beograd, Srbija"
Beograd,Leštane,N/A,82800,46.0,1800.0,"Leštane 46m2 dvoiposoban stan, novogradnja ID#4899",https://www.nekretnine.rs/stambeni-objekti/stanovi/lestane-46m2-dvoiposoban-stan-novogradnja-id4899/NkD4Uq96v6l/,"Leštane, Beograd, Srbija"
Beograd,Tašmajdan,N/A,277200,73.0,3797.26,"Pravni fakultet 73m2, izuzetna lokacija stana ID#4894",https://www.nekretnine.rs/stambeni-objekti/stanovi/pravni-fakultet-73m2-izuzetna-lokacija-stana-id4894/NkK9Xr4MczY/,"Tašmajdan, Beograd, Srbija"
Beograd,Neimar,Gospodara Vučića,255000,74.0,3445.95,"Dobra ponuda, Vračar, Gospodara Vučića 74m2 ID#4906",https://www.nekretnine.rs/stambeni-objekti/stanovi/dobra-ponuda-vracar-gospodara-vucica-74m2-id4906/NkO6Mz14uty/,"Neimar, Beograd, Srbija"
Beograd,Višnjička banja,N/A,205000,67.0,3059.7,"Sunnyville novogradnja, trosoban stan 67,5m2 ID#4903",https://www.nekretnine.rs/stambeni-objekti/stanovi/sunnyville-novogradnja-trosoban-stan-67-5m2-id4903/NkQVxTS3pwH/,"Višnjička banja, Beograd, Srbija"
Beograd,Novi Beograd Blok 25 (Arena),Bulevar Arsenija Čarnojevića,439000,85.0,5164.71,"Novi Beograd, kod Arene, 3.0 stan 85m2, sa garažom ID#4923",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-kod-arene-30-stan-85m2-sa-garazom-id4923/Nk8J344InkO/,"Novi Beograd Blok 25 (Arena), Beograd, Srbija"
